Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
League Average,72,17383,2967,6366,.466,914,2494,.367,2053,3872,.530,1222,1571,.778,708,2482,3190,1786,545,351,996,1389,8071,2022
Boston Celtics*,82,19905,3137,7221,.434,969,2860,.339,2168,4361,.497,1324,1692,.783,858,2727,3585,1773,618,376,1133,1592,8567,2023
Dallas Mavericks*,82,19755,3198,7001,.457,895,2635,.340,2303,4366,.527,1296,1689,.767,780,2799,3579,1925,575,300,1073,1645,8587,2023
Golden State Warriors*,82,19730,3111,7098,.438,1000,2948,.339,2111,4150,.509,1426,1880,.759,792,2705,3497,1875,649,317,1189,1474,8648,2023
Miami Heat*,82,19855,3078,6886,.447,1064,3138,.339,2014,3748,.537,1437,1845,.779,783,2634,3417,1908,608,330,1228,1686,8657,2023
Cleveland Cavaliers,82,19730,3236,7152,.452,960,2721,.353,2276,4431,.514,1233,1592,.774,858,2657,3515,1978,691,380,1101,1638,8665,2023
New York Knicks,82,19780,3154,7050,.447,1038,3032,.342,2116,4018,.527,1395,1826,.764,766,2812,3578,1982,572,379,1039,1671,8741,2023
Toronto Raptors*,82,19855,3197,6919,.462,1014,2861,.354,2183,4058,.538,1374,1742,.789,847,2764,3611,2076,549,416,1298,1563,8782,2023
Phoenix Suns*,82,19730,3216,7243,.444,953,2805,.340,2263,4438,.510,1416,1861,.761,863,2783,3646,1875,614,327,1206,1553,8801,2023
Philadelphia 76ers*,82,19805,3253,7097,.458,931,2692,.346,2322,4405,.527,1364,1773,.769,838,2784,3622,1932,542,379,1087,1594,8801,2023
Utah Jazz*,82,19730,3314,7318,.453,994,2837,.350,2320,4481,.518,1199,1581,.758,809,2599,3408,1917,636,352,982,1664,8821,2023
Los Angeles Clippers,82,19780,3343,7432,.450,958,2780,.345,2385,4652,.513,1244,1606,.775,984,2881,3865,1975,631,339,1113,1515,8888,2023
Memphis Grizzlies*,82,19780,3305,7269,.455,987,2828,.349,2318,4441,.522,1417,1837,.771,821,2706,3527,2047,588,496,1235,1625,9014,2023
New Orleans Pelicans*,82,19755,3301,7009,.471,1064,2913,.365,2237,4096,.546,1377,1753,.786,759,2666,3425,2039,605,391,1164,1681,9043,2023
Denver Nuggets*,82,19805,3367,7168,.470,971,2806,.346,2396,4362,.549,1349,1783,.757,795,2680,3475,2082,649,392,1051,1632,9054,2023
Oklahoma City Thunder,82,19805,3398,7421,.458,1118,3171,.353,2280,4250,.536,1256,1629,.771,906,3060,3966,2142,695,490,1085,1463,9170,2023
Washington Wizards,82,19830,3384,7287,.464,941,2607,.361,2443,4680,.522,1475,1828,.807,840,2786,3626,1941,598,344,972,1634,9184,2023
