Rk,Team,G,MP,FG%,Dist., ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,3P, ,%FGA,Md., ,%FGA,Md., ,%3PA,3P%, ,Att.,Md.,Year
19,New York Knicks,82,19855,.441,13.5,,.765,.210,.145,.188,.222,.235,,.459,.554,.437,.436,.403,.383,,.555,.807,,.017,102,,.174,607,,.263,.425,,12,0,2003
20,Orlando Magic*,82,19805,.436,13.5,,.765,.292,.080,.098,.295,.235,,.460,.557,.381,.388,.408,.357,,.515,.792,,.035,218,,.232,789,,.188,.341,,9,0,2003
21,Philadelphia 76ers*,82,19855,.448,10.1,,.881,.367,.144,.169,.202,.119,,.466,.580,.407,.352,.398,.311,,.567,.910,,.032,199,,.311,1092,,.283,.345,,6,1,2003
22,Phoenix Suns*,82,19805,.443,11.2,,.830,.323,.148,.147,.213,.170,,.464,.575,.395,.386,.398,.343,,.530,.850,,.055,339,,.251,862,,.361,.398,,14,0,2003
23,Portland Trail Blazers*,82,19855,.460,11.4,,.823,.317,.159,.132,.215,.177,,.488,.635,.407,.420,.374,.330,,.585,.881,,.059,350,,.237,884,,.235,.356,,22,0,2003
24,Sacramento Kings*,82,19830,.464,12.5,,.816,.282,.142,.099,.293,.184,,.482,.652,.380,.375,.405,.381,,.583,.874,,.048,308,,.208,891,,.362,.431,,25,0,2003
25,San Antonio Spurs*,82,19830,.462,11.2,,.798,.313,.189,.133,.163,.202,,.489,.634,.423,.388,.371,.354,,.499,.909,,.058,322,,.249,900,,.400,.376,,10,0,2003
26,Seattle SuperSonics,82,19855,.437,12.6,,.804,.247,.177,.129,.250,.196,,.458,.633,.366,.426,.366,.353,,.560,.906,,.037,221,,.197,763,,.268,.344,,10,0,2003
27,Toronto Raptors,82,19805,.427,12.4,,.821,.278,.135,.144,.263,.179,,.446,.586,.366,.381,.374,.343,,.510,.829,,.042,259,,.189,643,,.272,.389,,10,0,2003
28,Utah Jazz*,82,19780,.468,11.1,,.896,.337,.111,.139,.310,.104,,.481,.634,.338,.392,.406,.349,,.713,.884,,.039,231,,.273,1001,,.200,.391,,10,1,2003
29,Washington Wizards,82,19830,.440,12.7,,.873,.231,.130,.203,.309,.127,,.459,.623,.313,.423,.422,.312,,.541,.893,,.043,265,,.176,621,,.276,.335,,2,0,2003
,League Average,82,19841,.442,12.1,,.818,.286,.150,.146,.236,.182,,.463,.603,.384,.388,.389,.349,,.560,.852,,.047,285,,.218,779,,.257,.369,,12.0,0.2,2003
Rk,Team,G,MP,FG%,Dist., ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,3P, ,%FGA,Md., ,%FGA,Md., ,%3PA,3P%, ,Att.,Md.,2004
1,Atlanta Hawks,82,19905,.433,11.7,,.809,.303,.148,.153,.205,.191,,.456,.577,.371,.363,.409,.335,,.537,.845,,.045,289,,.232,767,,.292,.370,,2,0,2004
2,Boston Celtics*,82,19705,.443,13.0,,.751,.285,.126,.118,.222,.249,,.475,.608,.350,.394,.420,.346,,.524,.875,,.048,284,,.227,764,,.259,.394,,10,0,2004
3,Chicago Bulls,82,19830,.414,12.4,,.814,.283,.130,.142,.259,.186,,.431,.537,.385,.349,.383,.342,,.614,.790,,.045,283,,.217,665,,.214,.349,,10,1,2004
4,Cleveland Cavaliers,82,19855,.433,10.6,,.884,.318,.173,.196,.197,.116,,.448,.586,.355,.387,.368,.314,,.595,.879,,.051,322,,.220,768,,.290,.338,,13,0,2004
