Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,O_TOV%,ORB%,O_FT/FGA,D_eFG%,DRB%,D_FT/FGA,Year
Denver Nuggets*,25.6,46.0,27.0,41,32,2.11,0.24,2.35,113.1,111.0,2.1,97.1,0.235,0.344,0.567,12.3,24.8,0.183,0.533,76.8,0.198,2020
Indiana Pacers*,25.6,45.0,28.0,41,32,1.96,-0.33,1.63,110.0,108.0,2.0,98.9,0.216,0.317,0.565,12.0,20.0,0.17,0.511,76.7,0.192,2020
Oklahoma City Thunder*,25.5,44.0,28.0,41,31,1.99,0.34,2.33,110.8,108.8,2.0,98.8,0.29,0.353,0.573,12.4,19.3,0.231,0.518,76.8,0.173,2020
Phoenix Suns,24.6,34.0,39.0,37,36,0.22,0.35,0.56,111.7,111.4,0.3,101.3,0.271,0.361,0.576,13.0,22.2,0.226,0.539,78.8,0.221,2020
Brooklyn Nets*,26.3,35.0,37.0,35,37,-0.57,-0.44,-1.01,108.9,109.5,-0.6,101.4,0.267,0.423,0.554,13.1,23.2,0.199,0.511,77.8,0.187,2020
Orlando Magic*,26.1,33.0,40.0,34,39,-1.01,0.09,-0.93,108.5,109.5,-1.0,98.6,0.256,0.364,0.544,11.5,22.3,0.198,0.535,79.1,0.176,2020
San Antonio Spurs,27.6,32.0,39.0,33,38,-1.11,0.46,-0.65,112.4,113.5,-1.1,100.5,0.262,0.318,0.572,11.2,20.1,0.212,0.542,79.2,0.193,2020
Memphis Grizzlies,24.1,34.0,39.0,34,39,-1.07,0.16,-0.91,109.2,110.3,-1.1,102.8,0.24,0.346,0.561,13.2,23.0,0.183,0.521,77.8,0.217,2020
Portland Trail Blazers*,27.5,35.0,39.0,34,40,-1.15,0.54,-0.61,113.7,114.8,-1.1,100.7,0.242,0.374,0.57,11.2,22.4,0.194,0.53,75.3,0.208,2020
New Orleans Pelicans,25.4,30.0,42.0,33,39,-1.29,0.74,-0.55,110.7,111.9,-1.2,103.7,0.256,0.403,0.568,13.9,24.2,0.186,0.532,77.8,0.212,2020
Sacramento Kings,27.0,31.0,41.0,31,41,-2.04,0.46,-1.59,110.2,112.2,-2.0,98.9,0.23,0.395,0.566,13.0,21.9,0.177,0.543,78.4,0.225,2020
Chicago Bulls,24.4,22.0,43.0,26,39,-3.08,-0.93,-4.0,106.7,109.8,-3.1,99.7,0.231,0.396,0.547,13.7,22.8,0.175,0.546,75.6,0.239,2020
Detroit Pistons,25.9,20.0,46.0,26,40,-3.56,-0.82,-4.38,109.0,112.7,-3.7,97.6,0.261,0.381,0.561,13.8,22.6,0.194,0.541,75.9,0.186,2020
Minnesota Timberwolves,24.8,19.0,45.0,24,40,-4.3,0.28,-4.02,108.1,112.2,-4.1,103.4,0.277,0.433,0.551,13.0,22.1,0.209,0.541,77.2,0.218,2020
Washington Wizards,25.1,25.0,47.0,26,46,-4.67,-0.57,-5.24,110.9,115.5,-4.6,102.7,0.27,0.358,0.562,12.2,22.2,0.213,0.558,75.3,0.231,2020
New York Knicks,24.5,21.0,45.0,20,46,-6.45,-0.26,-6.72,106.5,113.0,-6.5,98.6,0.263,0.318,0.531,12.6,25.8,0.182,0.541,78.3,0.224,2020
Charlotte Hornets,24.3,23.0,42.0,19,46,-6.75,-0.28,-7.03,106.3,113.3,-7.0,95.8,0.252,0.399,0.539,13.3,23.9,0.188,0.546,74.4,0.159,2020
Atlanta Hawks,24.1,20.0,47.0,18,49,-7.97,0.27,-7.71,107.2,114.8,-7.6,103.0,0.258,0.398,0.554,13.8,21.6,0.204,0.543,74.9,0.233,2020
Cleveland Cavaliers,25.0,19.0,46.0,18,47,-7.89,0.12,-7.77,107.5,115.4,-7.9,98.7,0.227,0.362,0.553,14.6,24.6,0.172,0.56,77.4,0.164,2020
Golden State Warriors,24.4,15.0,50.0,16,49,-8.71,0.59,-8.12,105.2,113.8,-8.6,100.3,0.264,0.355,0.54,13.2,21.5,0.212,0.553,76.4,0.193,2020
League Average,26.2,,,35,35,0.0,0.0,0.0,110.6,110.6,,100.3,0.26,0.384,0.565,12.8,22.5,0.201,0.529,77.5,0.201,2020
Utah Jazz*,28.5,52.0,20.0,55,17,9.25,-0.29,8.97,117.6,108.3,9.3,98.5,0.244,0.488,0.597,12.7,24.5,0.195,0.507,79.3,0.159,2021
Los Angeles Clippers*,28.8,47.0,25.0,49,23,6.18,-0.16,6.02,117.6,111.2,6.4,96.9,0.222,0.4,0.599,12.2,22.7,0.186,0.531,79.1,0.186,2021
Phoenix Suns*,26.6,51.0,21.0,49,23,5.82,-0.15,5.67,117.2,111.3,5.9,97.2,0.212,0.392,0.597,11.5,20.8,0.177,0.534,78.5,0.194,2021
Milwaukee Bucks*,28.1,46.0,26.0,48,24,5.89,-0.32,5.57,117.2,111.4,5.8,102.2,0.233,0.404,0.593,12.0,23.3,0.177,0.536,79.7,0.157,2021
Philadelphia 76ers*,27.1,49.0,23.0,48,24,5.58,-0.31,5.28,113.2,107.6,5.6,99.5,0.293,0.347,0.579,12.8,23.2,0.225,0.521,78.2,0.2,2021
Denver Nuggets*,26.1,47.0,25.0,47,25,4.93,-0.11,4.82,117.1,112.1,5.0,97.1,0.219,0.383,0.588,12.1,24.7,0.176,0.545,78.9,0.2,2021
Brooklyn Nets*,28.2,48.0,24.0,46,26,4.5,-0.27,4.24,118.3,113.8,4.5,99.5,0.258,0.413,0.61,12.2,21.4,0.208,0.531,77.3,0.187,2021
Los Angeles Lakers*,28.2,42.0,30.0,42,30,2.79,-0.03,2.77,109.9,107.1,2.8,98.7,0.271,0.363,0.569,13.6,22.5,0.2,0.526,79.7,0.184,2021
Dallas Mavericks*,26.3,42.0,30.0,41,31,2.26,-0.01,2.26,115.4,113.0,2.4,97.3,0.242,0.436,0.582,11.1,21.1,0.189,0.534,77.8,0.197,2021
New York Knicks*,25.6,41.0,31.0,41,31,2.31,-0.18,2.13,110.6,108.2,2.4,95.9,0.242,0.347,0.559,11.9,21.9,0.19,0.509,78.6,0.196,2021
Atlanta Hawks*,25.4,41.0,31.0,41,31,2.32,-0.18,2.14,115.7,113.3,2.4,97.6,0.278,0.382,0.581,11.9,24.4,0.226,0.53,77.8,0.19,2021
Portland Trail Blazers*,27.4,42.0,30.0,40,32,1.79,0.01,1.81,117.8,116.0,1.8,98.4,0.238,0.448,0.577,9.9,23.0,0.195,0.546,77.5,0.203,2021
Boston Celtics*,25.1,36.0,36.0,39,33,1.46,-0.14,1.32,114.0,112.5,1.5,98.3,0.234,0.409,0.574,12.5,24.3,0.181,0.539,78.1,0.215,2021
Golden State Warriors,26.7,39.0,33.0,38,34,1.06,0.04,1.1,111.1,110.1,1.0,102.2,0.239,0.439,0.583,13.3,17.9,0.188,0.522,76.6,0.223,2021
Memphis Grizzlies*,24.2,38.0,34.0,38,34,1.03,0.04,1.07,112.0,111.0,1.0,100.4,0.232,0.342,0.56,11.6,24.2,0.179,0.535,78.3,0.196,2021
Miami Heat*,27.4,40.0,32.0,36,36,0.03,-0.09,-0.06,111.2,111.2,0.0,96.6,0.252,0.432,0.581,13.1,19.4,0.199,0.542,77.9,0.183,2021
Indiana Pacers,26.5,34.0,38.0,36,36,-0.04,-0.08,-0.13,112.4,112.4,0.0,101.6,0.227,0.372,0.575,11.9,20.2,0.18,0.531,74.9,0.201,2021
New Orleans Pelicans,24.8,31.0,41.0,35,37,-0.29,0.1,-0.2,113.5,113.8,-0.3,100.1,0.293,0.342,0.57,12.7,26.3,0.214,0.55,80.0,0.186,2021
Toronto Raptors,26.6,27.0,45.0,35,37,-0.47,-0.07,-0.54,112.0,112.5,-0.5,99.2,0.241,0.444,0.567,11.9,20.8,0.196,0.543,76.3,0.234,2021
Chicago Bulls,25.6,31.0,41.0,34,38,-0.89,-0.05,-0.94,111.1,112.0,-0.9,99.0,0.197,0.383,0.575,13.6,22.3,0.156,0.538,80.3,0.196,2021
San Antonio Spurs,26.2,33.0,39.0,32,40,-1.74,0.15,-1.58,111.0,112.8,-1.8,98.9,0.243,0.314,0.554,10.2,20.0,0.192,0.541,77.3,0.174,2021
Washington Wizards*,26.6,34.0,38.0,32,40,-1.83,-0.01,-1.85,111.2,113.0,-1.8,104.1,0.288,0.319,0.569,12.3,21.3,0.221,0.539,77.6,0.217,2021
Charlotte Hornets,24.6,33.0,39.0,32,40,-1.93,-0.01,-1.94,110.9,112.8,-1.9,98.3,0.238,0.422,0.564,13.3,23.5,0.181,0.55,75.7,0.163,2021
Sacramento Kings,25.6,31.0,41.0,28,44,-3.68,0.23,-3.45,113.6,117.2,-3.6,100.0,0.248,0.376,0.578,12.0,21.3,0.185,0.557,75.0,0.199,2021
Detroit Pistons,24.5,20.0,52.0,26,46,-4.47,0.09,-4.38,108.0,112.5,-4.5,97.9,0.273,0.385,0.556,13.5,21.9,0.207,0.541,76.9,0.195,2021
Minnesota Timberwolves,23.2,23.0,49.0,24,48,-5.56,0.31,-5.25,109.5,115.0,-5.5,101.6,0.254,0.413,0.555,12.4,22.7,0.193,0.556,76.8,0.207,2021
Houston Rockets,26.5,17.0,55.0,20,52,-7.9,0.4,-7.5,107.1,114.9,-7.8,101.4,0.252,0.459,0.553,13.0,19.8,0.187,0.555,77.1,0.201,2021
Cleveland Cavaliers,24.0,22.0,50.0,18,54,-8.44,0.25,-8.19,105.8,114.4,-8.6,97.3,0.261,0.347,0.543,13.9,23.6,0.194,0.556,76.6,0.183,2021
Orlando Magic,25.6,21.0,51.0,17,55,-9.31,0.29,-9.02,105.1,114.5,-9.4,98.7,0.24,0.356,0.527,11.5,21.6,0.186,0.547,78.2,0.169,2021
Oklahoma City Thunder,22.8,22.0,50.0,15,57,-10.64,0.51,-10.13,103.5,114.0,-10.5,101.0,0.242,0.399,0.539,14.2,21.2,0.176,0.547,77.9,0.167,2021
League Average,26.3,,,36,36,0.0,0.0,0.0,112.3,112.3,,99.2,0.247,0.392,0.572,12.4,22.2,0.192,0.538,77.8,0.192,2021
Boston Celtics*,26.1,51.0,31.0,59,23,7.28,-0.26,7.02,114.4,106.9,7.5,96.6,0.239,0.425,0.578,12.4,24.0,0.195,0.502,77.3,0.183,2022
Phoenix Suns*,27.5,64.0,18.0,59,23,7.5,-0.56,6.94,114.8,107.3,7.5,99.8,0.221,0.354,0.581,11.6,22.3,0.176,0.51,77.1,0.195,2022
Utah Jazz*,29.3,49.0,33.0,56,26,6.04,-0.37,5.67,116.7,110.5,6.2,97.1,0.271,0.468,0.589,12.7,25.4,0.208,0.521,78.3,0.164,2022
Memphis Grizzlies*,24.0,56.0,26.0,55,27,5.68,-0.32,5.37,114.6,109.0,5.6,100.3,0.245,0.346,0.553,11.2,30.0,0.18,0.523,77.8,0.195,2022
Golden State Warriors*,27.6,53.0,29.0,55,27,5.54,-0.02,5.52,112.5,106.9,5.6,98.4,0.235,0.456,0.582,13.5,22.8,0.181,0.509,78.7,0.201,2022
Miami Heat*,28.2,53.0,29.0,53,29,4.45,-0.22,4.23,113.7,109.1,4.6,95.9,0.252,0.422,0.584,13.4,23.5,0.204,0.524,78.0,0.209,2022
Dallas Mavericks*,26.7,52.0,30.0,50,32,3.3,-0.18,3.12,112.8,109.4,3.4,95.4,0.249,0.439,0.572,11.7,21.3,0.192,0.521,78.0,0.185,2022
Milwaukee Bucks*,28.5,51.0,31.0,49,33,3.35,-0.14,3.22,115.1,111.8,3.3,99.9,0.257,0.43,0.58,11.9,23.0,0.199,0.536,78.6,0.165,2022
Philadelphia 76ers*,26.8,51.0,31.0,48,34,2.61,-0.04,2.57,113.5,110.8,2.7,96.2,0.282,0.376,0.578,11.6,20.1,0.232,0.524,76.8,0.192,2022
Minnesota Timberwolves*,24.2,46.0,36.0,48,34,2.63,-0.1,2.53,114.3,111.7,2.6,100.9,0.254,0.454,0.573,12.4,24.4,0.198,0.535,74.9,0.227,2022
Denver Nuggets*,27.7,48.0,34.0,47,35,2.3,-0.15,2.16,114.5,112.1,2.4,97.8,0.244,0.416,0.59,13.2,21.9,0.194,0.537,78.3,0.188,2022
Toronto Raptors*,24.8,48.0,34.0,47,35,2.29,0.08,2.38,112.9,110.5,2.4,96.0,0.234,0.375,0.543,11.0,28.4,0.177,0.535,75.6,0.199,2022
Cleveland Cavaliers,24.7,44.0,38.0,47,35,2.12,-0.08,2.04,111.9,109.7,2.2,96.1,0.261,0.387,0.571,13.2,24.0,0.198,0.52,76.5,0.172,2022
Atlanta Hawks*,26.1,43.0,39.0,45,37,1.56,-0.01,1.55,116.5,114.9,1.6,97.7,0.253,0.39,0.581,10.8,23.0,0.205,0.543,76.9,0.177,2022
Brooklyn Nets*,29.1,44.0,38.0,43,39,0.78,0.04,0.82,113.6,112.8,0.8,99.0,0.246,0.359,0.576,12.5,23.9,0.198,0.521,75.1,0.201,2022
Charlotte Hornets,25.5,43.0,39.0,42,40,0.44,0.09,0.53,114.1,113.7,0.4,100.0,0.234,0.418,0.572,11.6,23.3,0.173,0.544,74.8,0.187,2022
San Antonio Spurs,24.5,34.0,48.0,41,41,0.12,-0.1,0.02,112.4,112.3,0.1,100.0,0.22,0.345,0.556,11.1,23.7,0.166,0.532,75.1,0.176,2022
Los Angeles Clippers,27.5,42.0,40.0,41,41,0.02,0.06,0.09,110.1,110.1,0.0,98.0,0.224,0.391,0.564,12.5,20.6,0.178,0.514,74.4,0.167,2022
New York Knicks,26.0,37.0,45.0,41,41,-0.12,0.11,-0.01,110.4,110.5,-0.1,95.9,0.28,0.428,0.55,12.0,25.1,0.208,0.521,78.8,0.198,2022
Chicago Bulls*,26.3,46.0,36.0,40,42,-0.39,0.02,-0.38,113.2,113.6,-0.4,98.3,0.248,0.332,0.579,11.8,20.4,0.201,0.541,78.3,0.199,2022
New Orleans Pelicans*,25.6,36.0,46.0,38,44,-0.99,0.15,-0.84,112.0,113.0,-1.0,97.2,0.264,0.365,0.557,12.5,26.9,0.208,0.547,78.2,0.196,2022
Los Angeles Lakers,30.2,33.0,49.0,33,49,-3.05,-0.03,-3.08,110.3,113.3,-3.0,100.1,0.259,0.388,0.567,12.8,21.1,0.19,0.54,75.8,0.192,2022
Washington Wizards,25.9,35.0,47.0,32,50,-3.38,0.15,-3.23,111.1,114.5,-3.4,97.0,0.252,0.356,0.568,12.1,20.9,0.197,0.529,76.9,0.202,2022
Indiana Pacers,26.0,25.0,57.0,32,50,-3.48,0.22,-3.26,112.6,116.1,-3.5,98.0,0.239,0.395,0.564,12.7,25.5,0.184,0.552,76.2,0.204,2022
Sacramento Kings,25.8,30.0,52.0,28,54,-5.46,0.2,-5.26,109.9,115.3,-5.4,99.8,0.264,0.377,0.561,12.5,21.3,0.203,0.551,76.0,0.176,2022
Detroit Pistons,23.6,23.0,59.0,22,60,-7.72,0.37,-7.36,106.0,113.8,-7.8,98.4,0.249,0.391,0.533,12.6,23.4,0.194,0.541,75.6,0.226,2022
Orlando Magic,23.3,22.0,60.0,21,61,-8.0,0.33,-7.67,104.5,112.5,-8.0,99.2,0.223,0.417,0.538,13.0,19.8,0.175,0.532,77.2,0.196,2022
Oklahoma City Thunder,22.4,24.0,58.0,21,61,-8.1,0.2,-7.9,104.6,112.8,-8.2,98.5,0.223,0.419,0.53,12.5,21.8,0.169,0.533,76.1,0.169,2022
Houston Rockets,24.1,20.0,62.0,21,61,-8.48,0.22,-8.26,108.4,116.7,-8.3,100.9,0.284,0.448,0.565,14.5,21.7,0.202,0.554,74.4,0.206,2022
Portland Trail Blazers,25.6,27.0,55.0,20,62,-8.88,0.33,-8.55,107.8,116.9,-9.1,98.3,0.248,0.422,0.55,13.0,22.9,0.188,0.559,76.9,0.222,2022
League Average,26.3,,,41,41,0.0,0.0,0.0,112.0,112.0,,98.2,0.248,0.399,0.566,12.3,23.2,0.192,0.532,76.8,0.192,2022
Boston Celtics*,27.4,57.0,25.0,57,25,6.52,-0.15,6.38,118.0,111.5,6.5,98.5,0.243,0.48,0.6,12.0,22.1,0.197,0.528,78.5,0.18,2023
Cleveland Cavaliers*,25.4,51.0,31.0,55,27,5.38,-0.15,5.23,116.1,110.6,5.5,95.7,0.264,0.371,0.59,12.3,23.6,0.206,0.535,76.3,0.21,2023
Philadelphia 76ers*,28.2,54.0,28.0,52,30,4.32,0.06,4.37,117.7,113.3,4.4,96.9,0.3,0.389,0.608,12.6,21.6,0.25,0.541,77.2,0.217,2023
Memphis Grizzlies*,24.4,51.0,31.0,51,31,3.94,-0.34,3.6,115.1,111.2,3.9,101.1,0.259,0.372,0.57,11.7,26.5,0.19,0.526,75.9,0.206,2023
Milwaukee Bucks*,29.8,58.0,24.0,50,32,3.63,-0.02,3.61,115.4,111.9,3.5,100.5,0.248,0.446,0.583,12.7,25.0,0.184,0.52,77.8,0.175,2023
Denver Nuggets*,26.6,53.0,29.0,49,33,3.33,-0.29,3.04,117.6,114.2,3.4,98.1,0.259,0.361,0.601,13.1,24.8,0.194,0.543,76.4,0.201,2023
New York Knicks*,24.5,47.0,35.0,48,34,2.93,0.06,2.99,117.8,114.8,3.0,97.1,0.285,0.4,0.577,11.4,28.3,0.217,0.536,77.1,0.21,2023
Sacramento Kings*,25.4,48.0,34.0,47,35,2.65,-0.35,2.3,119.4,116.8,2.6,100.3,0.284,0.423,0.608,12.0,22.7,0.225,0.563,77.2,0.203,2023
Phoenix Suns*,28.1,45.0,37.0,46,36,2.07,0.01,2.08,115.1,113.0,2.1,98.2,0.241,0.362,0.57,12.0,26.6,0.191,0.532,76.0,0.234,2023
New Orleans Pelicans,25.9,42.0,40.0,46,36,1.89,-0.26,1.63,114.4,112.5,1.9,99.1,0.279,0.344,0.582,12.9,24.7,0.221,0.543,77.4,0.212,2023
Golden State Warriors*,27.3,44.0,38.0,45,37,1.8,-0.15,1.66,116.1,114.4,1.7,101.6,0.224,0.479,0.6,14.1,24.4,0.178,0.54,76.0,0.214,2023
Toronto Raptors,25.8,41.0,41.0,45,37,1.48,0.12,1.59,115.5,114.0,1.5,97.1,0.257,0.351,0.555,10.3,27.8,0.201,0.565,76.7,0.223,2023
Chicago Bulls,27.5,40.0,42.0,44,38,1.29,0.07,1.37,113.5,112.2,1.3,98.5,0.251,0.333,0.587,12.2,20.1,0.203,0.544,77.8,0.197,2023
Oklahoma City Thunder,22.8,40.0,42.0,44,38,1.09,-0.12,0.96,115.2,114.2,1.0,101.1,0.256,0.369,0.57,11.2,24.7,0.207,0.547,72.9,0.222,2023
Brooklyn Nets*,28.0,45.0,37.0,43,39,0.85,0.18,1.03,115.0,114.1,0.9,98.3,0.26,0.397,0.598,12.7,19.6,0.208,0.53,73.7,0.212,2023
Los Angeles Lakers*,27.9,43.0,39.0,42,40,0.57,-0.15,0.43,114.5,113.9,0.6,101.3,0.299,0.351,0.582,12.3,22.8,0.232,0.535,76.3,0.171,2023
Los Angeles Clippers*,29.7,44.0,38.0,42,40,0.5,-0.19,0.31,115.0,114.5,0.5,98.0,0.278,0.387,0.588,12.8,22.9,0.217,0.543,76.6,0.195,2023
Atlanta Hawks*,24.9,41.0,41.0,42,40,0.29,0.02,0.32,116.6,116.3,0.3,100.7,0.244,0.331,0.579,11.2,25.1,0.2,0.552,75.8,0.206,2023
Dallas Mavericks,27.8,38.0,44.0,41,41,0.07,-0.22,-0.14,116.8,116.7,0.1,96.6,0.298,0.487,0.599,11.4,18.0,0.225,0.549,75.5,0.226,2023
Minnesota Timberwolves*,25.8,42.0,40.0,41,41,-0.04,-0.18,-0.22,113.7,113.8,-0.1,101.0,0.271,0.381,0.592,13.6,21.5,0.205,0.54,74.3,0.225,2023
Miami Heat*,27.7,44.0,38.0,40,42,-0.32,0.18,-0.13,113.0,113.3,-0.3,96.3,0.27,0.408,0.574,12.4,22.8,0.224,0.561,77.7,0.198,2023
Utah Jazz,26.5,37.0,45.0,39,43,-0.94,-0.09,-1.03,115.8,116.7,-0.9,100.5,0.265,0.421,0.584,13.3,26.8,0.209,0.541,75.2,0.205,2023
Washington Wizards,26.2,35.0,47.0,38,44,-1.21,0.15,-1.06,114.4,115.6,-1.2,98.6,0.258,0.365,0.585,12.7,22.6,0.202,0.54,76.1,0.194,2023
Orlando Magic,23.1,34.0,48.0,35,47,-2.56,0.17,-2.39,111.6,114.2,-2.6,99.3,0.29,0.361,0.573,13.4,23.8,0.227,0.55,77.7,0.211,2023
Indiana Pacers,24.5,35.0,47.0,33,49,-3.18,0.28,-2.91,114.6,117.7,-3.1,101.1,0.265,0.413,0.581,13.0,23.4,0.209,0.554,72.2,0.229,2023
Portland Trail Blazers,25.1,33.0,49.0,31,51,-4.01,0.05,-3.96,114.8,118.8,-4.0,98.6,0.289,0.413,0.589,13.1,22.4,0.23,0.563,74.9,0.217,2023
Charlotte Hornets,25.3,27.0,55.0,26,56,-6.24,0.35,-5.89,109.2,115.3,-6.1,100.8,0.261,0.36,0.55,12.3,23.8,0.195,0.544,75.5,0.211,2023
Houston Rockets,22.1,22.0,60.0,23,59,-7.85,0.24,-7.62,111.4,119.3,-7.9,99.0,0.285,0.359,0.554,14.0,30.2,0.215,0.564,75.8,0.218,2023
Detroit Pistons,24.1,17.0,65.0,22,60,-8.22,0.49,-7.73,110.7,118.9,-8.2,99.0,0.295,0.372,0.561,13.3,24.9,0.227,0.557,74.0,0.231,2023
San Antonio Spurs,23.9,22.0,60.0,19,63,-10.04,0.22,-9.82,110.2,120.0,-9.8,101.6,0.229,0.348,0.554,13.0,25.6,0.17,0.576,74.9,0.201,2023
League Average,26.3,,,41,41,0.0,0.0,0.0,114.8,114.8,,99.1,0.266,0.387,0.581,12.5,24.0,0.208,0.545,76.0,0.208,2023
Boston Celtics*,28.2,64.0,18.0,66,16,11.34,-0.6,10.75,123.2,111.6,11.6,97.2,0.224,0.471,0.609,10.8,24.9,0.18,0.523,76.3,0.145,2024
Oklahoma City Thunder*,23.4,57.0,25.0,58,24,7.41,-0.05,7.36,119.5,112.1,7.4,99.8,0.24,0.383,0.608,11.4,21.1,0.198,0.53,73.8,0.202,2024
Minnesota Timberwolves*,27.2,56.0,26.0,57,25,6.45,-0.07,6.39,115.6,109.0,6.6,97.1,0.27,0.384,0.594,13.0,23.2,0.209,0.515,76.9,0.197,2024
Denver Nuggets*,27.1,57.0,25.0,54,28,5.26,-0.03,5.23,118.5,113.0,5.5,96.8,0.224,0.352,0.589,11.5,25.5,0.17,0.526,75.6,0.195,2024
New York Knicks*,26.4,50.0,32.0,53,29,4.59,-0.23,4.36,118.2,113.4,4.8,95.2,0.246,0.404,0.574,11.9,29.4,0.192,0.543,76.1,0.176,2024
New Orleans Pelicans*,26.0,49.0,33.0,52,30,4.41,0.05,4.46,117.4,112.9,4.5,97.9,0.261,0.373,0.591,11.8,24.4,0.202,0.541,76.9,0.186,2024
Los Angeles Clippers*,30.4,51.0,31.0,49,33,3.28,0.13,3.41,118.8,115.4,3.4,97.2,0.256,0.383,0.599,12.0,24.4,0.211,0.541,74.8,0.183,2024
Philadelphia 76ers*,28.4,47.0,35.0,49,33,3.05,-0.54,2.51,116.9,113.8,3.1,97.5,0.264,0.373,0.574,10.7,24.8,0.218,0.537,74.3,0.215,2024
Phoenix Suns*,29.3,49.0,33.0,49,33,3.06,0.02,3.08,117.6,114.6,3.0,98.3,0.271,0.378,0.603,13.4,25.0,0.219,0.536,75.6,0.178,2024
Indiana Pacers*,25.3,47.0,35.0,48,34,3.05,-0.3,2.75,121.0,118.0,3.0,101.7,0.222,0.38,0.606,11.3,23.8,0.173,0.556,74.1,0.228,2024
Golden State Warriors,28.4,46.0,36.0,47,35,2.61,0.16,2.77,117.8,115.2,2.6,99.2,0.219,0.425,0.586,12.5,27.5,0.171,0.539,76.1,0.195,2024
Milwaukee Bucks*,30.2,49.0,33.0,47,35,2.62,-0.18,2.44,118.4,115.8,2.6,99.9,0.27,0.43,0.601,11.5,21.8,0.209,0.539,77.2,0.189,2024
Cleveland Cavaliers*,26.2,48.0,34.0,47,35,2.41,-0.44,1.98,115.2,112.7,2.5,97.2,0.234,0.422,0.586,12.4,23.2,0.179,0.535,76.9,0.19,2024
Dallas Mavericks*,26.5,50.0,32.0,46,36,2.21,0.09,2.3,117.6,115.4,2.2,100.1,0.251,0.441,0.592,11.2,22.2,0.19,0.548,75.2,0.184,2024
Orlando Magic*,24.0,47.0,35.0,46,36,2.02,-0.55,1.48,113.4,111.3,2.1,96.9,0.287,0.369,0.577,13.3,25.3,0.218,0.543,78.1,0.206,2024
Miami Heat*,28.0,46.0,36.0,46,36,1.76,-0.66,1.1,114.0,112.2,1.8,96.2,0.257,0.394,0.578,11.7,21.8,0.21,0.543,78.1,0.174,2024
Sacramento Kings,26.4,46.0,36.0,45,37,1.74,0.55,2.29,116.9,115.2,1.7,98.8,0.229,0.432,0.582,11.6,24.5,0.171,0.555,78.4,0.213,2024
Houston Rockets,25.1,41.0,41.0,44,38,1.12,0.12,1.24,114.5,113.4,1.1,99.0,0.257,0.397,0.565,11.2,25.1,0.199,0.533,76.0,0.219,2024
Los Angeles Lakers*,28.0,47.0,35.0,42,40,0.6,0.48,1.07,115.9,115.3,0.6,100.9,0.276,0.358,0.601,12.5,19.9,0.216,0.55,76.2,0.153,2024
Chicago Bulls,28.1,39.0,43.0,37,45,-1.44,-0.33,-1.77,114.9,116.3,-1.4,96.3,0.236,0.358,0.568,11.0,25.1,0.187,0.556,76.4,0.195,2024
Atlanta Hawks,26.2,36.0,46.0,36,46,-2.18,-0.19,-2.38,117.2,119.4,-2.2,100.1,0.251,0.408,0.576,11.6,27.1,0.2,0.572,75.2,0.192,2024
Brooklyn Nets,26.1,32.0,50.0,34,48,-2.89,-0.13,-3.02,113.2,116.1,-2.9,96.9,0.234,0.412,0.561,11.8,25.2,0.177,0.543,76.0,0.193,2024
Utah Jazz,25.1,31.0,51.0,29,53,-4.89,0.68,-4.22,115.5,120.4,-4.9,99.5,0.251,0.406,0.579,13.6,28.1,0.209,0.567,75.2,0.182,2024
San Antonio Spurs,23.0,22.0,60.0,26,56,-6.49,0.69,-5.8,110.0,116.4,-6.4,101.1,0.22,0.401,0.563,13.2,22.9,0.172,0.555,76.4,0.174,2024
Toronto Raptors,25.9,25.0,57.0,26,56,-6.44,-0.01,-6.45,112.3,118.8,-6.5,99.4,0.241,0.369,0.566,12.4,24.2,0.182,0.566,73.9,0.172,2024
Memphis Grizzlies,24.4,27.0,55.0,24,58,-7.0,0.43,-6.57,107.2,114.3,-7.1,98.2,0.238,0.428,0.543,13.4,23.8,0.182,0.551,74.8,0.195,2024
Detroit Pistons,23.8,14.0,68.0,20,62,-9.11,0.05,-9.06,109.7,118.8,-9.1,99.8,0.246,0.36,0.562,13.5,23.9,0.193,0.558,77.3,0.221,2024
Washington Wizards,24.9,15.0,67.0,20,62,-9.29,0.0,-9.29,110.5,119.6,-9.1,102.7,0.221,0.389,0.567,12.2,20.0,0.169,0.562,72.5,0.201,2024
Portland Trail Blazers,24.1,21.0,61.0,20,62,-9.02,0.74,-8.29,108.3,117.5,-9.2,97.2,0.228,0.37,0.539,13.4,27.5,0.181,0.558,74.0,0.216,2024
Charlotte Hornets,25.1,21.0,61.0,18,64,-10.24,0.13,-10.12,109.3,119.8,-10.5,97.3,0.212,0.391,0.56,12.6,21.1,0.167,0.572,74.5,0.188,2024
League Average,26.6,,,41,41,0.0,0.0,0.0,115.3,115.3,,98.5,0.244,0.395,0.58,12.1,24.2,0.192,0.547,75.8,0.192,2024
